id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
24071234,313441050,261118586,609.5660136722,1,1,0,2,0,"LINESTRING(-87.7210740 41.9391714, -87.7210852 41.9396396, -87.7211208 41.9409968, -87.7211742 41.9428164, -87.7212367 41.9446459)"
24071237,305910829,4081947329,560.9614505447,1,1,0,2,0,"LINESTRING(-87.7217073 41.9610239, -87.7216929 41.9605788, -87.7216552 41.9592048, -87.7215994 41.9573904, -87.7215643 41.9559858)"
24071237,4081947329,4081695996,47.1890116597,1,1,0,2,0,"LINESTRING(-87.7215643 41.9559858, -87.7215514 41.9555620)"
24071237,4081695996,261118595,24.8974470828,1,1,0,2,0,"LINESTRING(-87.7215514 41.9555620, -87.7215445 41.9553384)"
24071237,261118595,2180439048,32.7694199281,1,1,0,2,0,"LINESTRING(-87.7215445 41.9553384, -87.7215356 41.9550441)"
24071237,2180439048,2180438981,39.9849681088,1,1,0,2,0,"LINESTRING(-87.7215356 41.9550441, -87.7215246 41.9546850)"
24071237,2180438981,2180439042,49.3028456117,1,1,0,2,0,"LINESTRING(-87.7215246 41.9546850, -87.7215121 41.9542422)"
24071237,2180439042,1475142976,49.9820887006,1,1,0,2,0,"LINESTRING(-87.7215121 41.9542422, -87.7214994 41.9537933)"
24071237,1475142976,306084147,13.3693500103,1,1,0,2,0,"LINESTRING(-87.7214994 41.9537933, -87.7214880 41.9536735)"
24071237,306084147,2184683130,48.0121991985,1,1,0,2,0,"LINESTRING(-87.7214880 41.9536735, -87.7214753 41.9532423)"
24071237,2184683130,2184683009,49.4818001644,1,1,0,2,0,"LINESTRING(-87.7214753 41.9532423, -87.7214623 41.9527979)"
24071237,2184683009,261118593,97.6054729133,1,1,0,2,0,"LINESTRING(-87.7214623 41.9527979, -87.7214365 41.9519213)"
24071237,261118593,261118592,203.0023478202,1,1,0,2,0,"LINESTRING(-87.7214365 41.9519213, -87.7213844 41.9500981)"
24071237,261118592,2184764843,85.4127265674,1,1,0,2,0,"LINESTRING(-87.7213844 41.9500981, -87.7213695 41.9493309)"
24071237,2184764843,261118591,20.1629937471,1,1,0,2,0,"LINESTRING(-87.7213695 41.9493309, -87.7213676 41.9492353, -87.7213574 41.9491916, -87.7213313 41.9491553)"
24072222,261123517,3235485081,156.4900984731,1,1,0,2,0,"LINESTRING(-87.7392204 41.9517006, -87.7392793 41.9531057)"
24072222,3235485081,369630931,46.0973822275,1,1,0,2,0,"LINESTRING(-87.7392793 41.9531057, -87.7392967 41.9535196)"
24072224,261123523,2184848966,60.0544550367,1,1,0,2,0,"LINESTRING(-87.7398522 41.9488693, -87.7395560 41.9491713, -87.7394806 41.9492481, -87.7394430 41.9493129)"
24072224,2184848966,261123525,64.2415807465,1,1,0,2,0,"LINESTRING(-87.7394430 41.9493129, -87.7394571 41.9498899)"
24072224,261123525,261123526,201.1426507802,1,1,0,2,0,"LINESTRING(-87.7394571 41.9498899, -87.7395200 41.9516962)"
24073103,316309147,5495409878,22.5284179171,1,1,0,2,0,"LINESTRING(-87.7472959 41.9524655, -87.7475680 41.9524629)"
24073103,5495409878,5495409873,21.6590756775,1,1,0,2,0,"LINESTRING(-87.7475680 41.9524629, -87.7478296 41.9524604)"
24073103,5495409873,365061626,9.0495349525,1,1,0,2,0,"LINESTRING(-87.7478296 41.9524604, -87.7479389 41.9524593)"
24073103,365061626,261128229,155.6277757846,1,1,0,2,0,"LINESTRING(-87.7479389 41.9524593, -87.7498185 41.9524370)"
24073103,261128229,261128231,399.8816968152,1,1,0,2,0,"LINESTRING(-87.7498185 41.9524370, -87.7521990 41.9523923, -87.7546478 41.9523730)"
24073105,261128252,158736268,207.4439467301,1,1,0,2,0,"LINESTRING(-87.7250750 41.9527646, -87.7275804 41.9527338)"
24073111,261128271,2184848924,56.83697195,1,1,1,2,2,"LINESTRING(-87.7409311 41.9522330, -87.7402446 41.9522382)"
24073111,2184848924,2184848946,24.5216228991,1,1,1,2,2,"LINESTRING(-87.7402446 41.9522382, -87.7401792 41.9522387, -87.7401073 41.9522497, -87.7400484 41.9522715, -87.7400135 41.9523014, -87.7400055 41.9523293)"
24077662,261139132,261151558,201.1779284019,1,1,0,2,0,"LINESTRING(-87.7358983 41.9426239, -87.7359155 41.9430763, -87.7359670 41.9444304)"
24077662,261151558,2401855225,153.3197097284,1,1,0,2,0,"LINESTRING(-87.7359670 41.9444304, -87.7360058 41.9458074)"
24077662,2401855225,2401855275,5.6673147547,1,1,0,2,0,"LINESTRING(-87.7360058 41.9458074, -87.7360072 41.9458583)"
24077662,2401855275,318028816,44.1810505036,1,1,0,2,0,"LINESTRING(-87.7360072 41.9458583, -87.7360184 41.9462551)"
24077666,261151566,2401855392,39.9949989519,1,1,0,2,0,"LINESTRING(-87.7366456 41.9480766, -87.7366560 41.9484358)"
24077666,2401855392,261151567,165.7591346441,1,1,0,2,0,"LINESTRING(-87.7366560 41.9484358, -87.7366993 41.9499245)"
24077666,261151567,261151568,201.827907795,1,1,0,2,0,"LINESTRING(-87.7366993 41.9499245, -87.7367407 41.9517373)"
24082355,261178080,2401855381,51.2651721376,1,1,1,2,2,"LINESTRING(-87.7347246 41.9444431, -87.7353437 41.9444368)"
24082355,2401855381,261151558,51.6130499177,1,1,1,2,2,"LINESTRING(-87.7353437 41.9444368, -87.7359670 41.9444304)"
24082355,261151558,2401855425,49.9983360092,1,1,1,2,2,"LINESTRING(-87.7359670 41.9444304, -87.7365708 41.9444242)"
24082355,2401855425,261178081,50.2137501475,1,1,1,2,2,"LINESTRING(-87.7365708 41.9444242, -87.7371772 41.9444179)"
24082356,261178086,261178085,169.5189806751,1,1,0,2,0,"LINESTRING(-87.7312309 41.9447493, -87.7291842 41.9447887)"
24082356,261178085,2401873931,102.2052912667,1,1,0,2,0,"LINESTRING(-87.7291842 41.9447887, -87.7279500 41.9448051)"
24082356,2401873931,261178084,49.7114582098,1,1,0,2,0,"LINESTRING(-87.7279500 41.9448051, -87.7273497 41.9448131)"
24082358,261178093,4606858774,44.7751977665,1,1,1,2,2,"LINESTRING(-87.7427880 41.9447228, -87.7433287 41.9447160)"
24082358,4606858774,261178094,49.7687061107,1,1,1,2,2,"LINESTRING(-87.7433287 41.9447160, -87.7439297 41.9447084)"
24082358,261178094,2393935054,52.2340641544,1,1,1,2,2,"LINESTRING(-87.7439297 41.9447084, -87.7445605 41.9447018)"
24082359,261178099,2402691775,51.3732915291,1,1,1,2,2,"LINESTRING(-87.7396495 41.9444122, -87.7402699 41.9444056)"
24082359,2402691775,261178101,50.4046581331,1,1,1,2,2,"LINESTRING(-87.7402699 41.9444056, -87.7408786 41.9443990)"
24082359,261178101,2402691799,50.9872692424,1,1,1,2,2,"LINESTRING(-87.7408786 41.9443990, -87.7414943 41.9443907)"
24082359,2402691799,261178102,47.1032622609,1,1,1,2,2,"LINESTRING(-87.7414943 41.9443907, -87.7420631 41.9443831)"
24082360,261178091,4062144264,78.5453633143,1,1,0,2,0,"LINESTRING(-87.7181858 41.9446848, -87.7187873 41.9446771, -87.7191343 41.9446727)"
24082360,4062144264,4062144261,45.2390233615,1,1,0,2,0,"LINESTRING(-87.7191343 41.9446727, -87.7196806 41.9446658)"
24082360,4062144261,261178107,26.7478161095,1,1,0,2,0,"LINESTRING(-87.7196806 41.9446658, -87.7200036 41.9446616)"
24082360,261178107,2184906002,51.7147866346,1,1,0,2,0,"LINESTRING(-87.7200036 41.9446616, -87.7206281 41.9446537)"
24082360,2184906002,261118586,50.3983080346,1,1,0,2,0,"LINESTRING(-87.7206281 41.9446537, -87.7212367 41.9446459)"
24082360,261118586,2184906081,50.7956858455,1,1,0,2,0,"LINESTRING(-87.7212367 41.9446459, -87.7218501 41.9446381)"
24082360,2184906081,261178108,49.8931359858,1,1,0,2,0,"LINESTRING(-87.7218501 41.9446381, -87.7224526 41.9446304)"
24082360,261178108,1992978438,50.9447128296,1,1,0,2,0,"LINESTRING(-87.7224526 41.9446304, -87.7230678 41.9446226)"
24082360,1992978438,261178109,49.975933895,1,1,0,2,0,"LINESTRING(-87.7230678 41.9446226, -87.7236713 41.9446149)"
24082360,261178109,1992978459,51.41679508,1,1,0,2,0,"LINESTRING(-87.7236713 41.9446149, -87.7242922 41.9446070)"
24082360,1992978459,261178111,50.8122740093,1,1,0,2,0,"LINESTRING(-87.7242922 41.9446070, -87.7249058 41.9445992)"
24082360,261178111,2184906012,50.3735153873,1,1,0,2,0,"LINESTRING(-87.7249058 41.9445992, -87.7255141 41.9445914)"
24082360,2184906012,261178112,50.3153806418,1,1,0,2,0,"LINESTRING(-87.7255141 41.9445914, -87.7261217 41.9445837)"
24082360,261178112,2184906202,50.9614982586,1,1,0,2,0,"LINESTRING(-87.7261217 41.9445837, -87.7267371 41.9445758)"
24082360,2184906202,425580769,50.1498209725,1,1,0,2,0,"LINESTRING(-87.7267371 41.9445758, -87.7273427 41.9445681)"
24082760,369630905,5493329489,43.1465678859,1,1,0,2,0,"LINESTRING(-87.7473877 41.9561582, -87.7479089 41.9561575)"
24082760,5493329489,2185494895,12.2601820111,1,1,0,2,0,"LINESTRING(-87.7479089 41.9561575, -87.7480570 41.9561573)"
24082760,2185494895,2185533523,148.3625371829,1,1,0,2,0,"LINESTRING(-87.7480570 41.9561573, -87.7498489 41.9561335)"
24082760,2185533523,1316586904,60.1182598949,1,1,0,2,0,"LINESTRING(-87.7498489 41.9561335, -87.7505750 41.9561239)"
24082862,261139129,2401855416,192.0015985566,1,1,0,2,0,"LINESTRING(-87.7334454 41.9426570, -87.7334879 41.9443815)"
24082863,261180919,369631024,108.9328705169,1,1,1,2,2,"LINESTRING(-87.7339952 41.9545654, -87.7339592 41.9535872)"
